invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
38-798-1257,7195820165,Male,28,Sports Equipment,4,82,Credit Card,13-10-2023,SM City Fairview
74-945-5119,9664621110,Male,46,Toys,1,1113,Debit,02-05-2022,SM City North EDSA
03-329-6693,3295346399,Female,15,Electronics,3,1219,Debit,26-11-2021,SM Megamall
15-898-2334,3890387209,Female,15,Pet Supplies,4,1896,Debit,08-03-2022,SM Megamall
62-428-9822,9884754721,Female,41,Sports Equipment,4,1759,Credit Card,19-09-2023,SM Megamall
27-534-6613,78640962,Male,37,Home Goods,4,1576,Debit,06-03-2022,SM City Fairview
06-813-4664,3373388708,Male,66,Electronics,3,1407,Credit Card,04-12-2022,SM City Fairview
98-107-9044,3395174360,Male,61,Beauty,4,456,Cash,11-12-2022,SM Mall of Asia
77-064-3116,8189424505,Female,62,Home Goods,4,243,Credit Card,14-03-2022,SM City North EDSA
30-271-1335,8192565513,Male,19,Electronics,3,1428,Credit Card,27-12-2023,SM Mall of Asia
62-114-1663,6508179217,Female,20,Toys,5,1398,Debit,27-06-2022,SM Seaside City Cebu
66-163-5544,7294352356,Male,52,Home Goods,2,811,Credit Card,12-03-2022,SM Seaside City Cebu
97-172-4467,541497391,Male,49,Home Goods,4,1676,Cash,01-01-2021,SM Seaside City Cebu
04-736-8929,5076365306,Male,35,Music,5,583,Credit Card,12-11-2023,SM Mall of Asia
22-055-6655,2732151440,Male,46,Clothing,1,1855,Credit Card,09-03-2023,SM Seaside City Cebu
74-933-3190,9669282810,Male,59,Clothing,2,376,Credit Card,10-04-2022,SM Megamall
86-358-9808,356829413,Male,16,Beauty,1,809,Credit Card,05-08-2021,SM City North EDSA
94-756-1617,9284471478,Male,30,Home Goods,1,1261,Credit Card,10-06-2022,SM Megamall
66-159-0496,7928672847,Male,66,Toys,2,138,Debit,23-10-2022,SM Seaside City Cebu
79-867-1103,1527166619,Male,18,Clothing,2,440,Credit Card,25-02-2021,SM Megamall
63-511-5203,9438102884,Female,75,Beauty,5,975,Debit,21-08-2022,SM Mall of Asia
49-728-8441,9916886490,Male,64,Clothing,2,1405,Cash,09-10-2021,SM Mall of Asia
48-563-0534,6305803188,Male,30,Electronics,1,664,Credit Card,21-06-2023,SM Mall of Asia
44-475-4704,9098204503,Male,25,Electronics,2,1798,Debit,05-10-2023,SM City Fairview
78-879-6841,3976871133,Female,58,Sports Equipment,5,10,Credit Card,20-04-2022,SM Megamall
25-177-7622,5735872842,Female,38,Electronics,5,600,Cash,02-08-2022,SM Mall of Asia
21-093-3766,991093135,Female,73,Toys,2,1850,Credit Card,13-05-2023,SM City Cebu
15-234-3751,6419813956,Female,27,Clothing,5,948,Cash,07-12-2022,SM City Fairview
73-927-1374,3455164579,Female,42,Clothing,4,657,Cash,17-11-2023,SM Mall of Asia
34-801-3917,2711542696,Male,72,Beauty,2,1407,Credit Card,19-08-2023,SM Seaside City Cebu
13-149-4911,1130530671,Female,24,Books,1,151,Cash,04-03-2022,SM Seaside City Cebu
21-391-5777,4694265946,Male,51,Home Goods,3,1804,Cash,26-09-2022,SM Seaside City Cebu
98-347-6294,7143242829,Female,63,Home Goods,4,1649,Debit,19-07-2021,SM Seaside City Cebu
91-442-1591,1680178792,Male,22,Music,1,1905,Credit Card,20-03-2022,SM City Cebu
32-062-2647,7648877287,Male,60,Beauty,1,1727,Debit,16-01-2022,SM Megamall
78-101-3399,7573764995,Male,15,Beauty,4,1819,Debit,17-12-2022,SM Seaside City Cebu
96-130-6725,9391524796,Female,66,Clothing,5,1064,Credit Card,17-07-2021,SM Seaside City Cebu
04-997-0791,9270723860,Female,72,Beauty,4,1908,Debit,30-12-2021,SM Mall of Asia
98-168-6681,828075069,Male,64,Electronics,5,1055,Credit Card,01-11-2023,SM City Cebu
70-993-6320,1048714896,Male,40,Sports Equipment,2,1356,Credit Card,06-07-2023,SM City Fairview
28-826-2605,7875867940,Female,73,Home Goods,2,1624,Debit,14-04-2022,SM City Fairview
42-779-6376,4435390035,Male,75,Music,1,999,Credit Card,11-03-2021,SM City Fairview
46-156-3757,1016993269,Male,47,Music,3,550,Credit Card,29-03-2023,SM City Fairview
18-783-7949,2321727586,Male,34,Electronics,5,526,Debit,10-05-2022,SM City Cebu
69-402-3510,6623500928,Male,17,Electronics,3,523,Debit,04-06-2023,SM Mall of Asia
32-814-2499,1936025272,Male,65,Home Goods,2,309,Debit,16-01-2023,SM City North EDSA
29-195-7397,5675880216,Male,61,Books,2,529,Credit Card,21-06-2022,SM Megamall
44-786-9634,4276494818,Male,59,Sports Equipment,4,1548,Cash,27-06-2021,SM City North EDSA
15-563-1672,2861521872,Male,75,Pet Supplies,4,27,Debit,17-10-2021,SM City Fairview
73-310-5278,3507655845,Male,38,Electronics,3,1100,Cash,12-04-2021,SM Seaside City Cebu
36-422-2386,3538494509,Female,42,Electronics,4,1099,Credit Card,27-12-2021,SM Mall of Asia
32-757-6085,3187223850,Female,28,Music,5,508,Credit Card,20-02-2021,SM Mall of Asia
69-806-5111,3147659143,Male,64,Music,1,1768,Debit,29-08-2022,SM City North EDSA
81-160-7383,5504522692,Male,47,Food,2,592,Debit,28-06-2023,SM City Fairview
90-916-7964,7053268543,Male,32,Home Goods,5,296,Debit,23-01-2022,SM Megamall
11-957-7752,8441853282,Female,48,Toys,4,999,Credit Card,17-10-2023,SM City Cebu
55-947-8483,7874966791,Female,39,Toys,3,640,Debit,16-12-2022,SM City Cebu
24-015-9669,3925609539,Male,17,Food,1,1957,Cash,06-06-2021,SM Seaside City Cebu
20-215-7875,9404332496,Female,63,Beauty,1,833,Cash,20-02-2023,SM Seaside City Cebu
52-567-3076,5018460849,Female,61,Toys,4,1682,Debit,13-07-2023,SM City North EDSA
03-540-1096,8334070063,Female,32,Pet Supplies,1,25,Cash,03-03-2021,SM Megamall
15-883-6697,3241455351,Male,20,Beauty,2,1501,Debit,07-07-2022,SM City Cebu
42-346-4962,7695073148,Female,35,Electronics,3,560,Debit,26-08-2021,SM City Cebu
09-020-6875,9949978157,Male,32,Clothing,5,1327,Credit Card,12-11-2021,SM Mall of Asia
05-693-1549,8978903681,Female,16,Electronics,1,220,Cash,14-12-2021,SM Megamall
39-194-5053,9597760274,Female,24,Music,4,749,Credit Card,24-07-2022,SM City Fairview
11-682-1409,902741438,Male,41,Electronics,1,258,Credit Card,06-09-2023,SM City Fairview
21-600-9381,674531450,Female,67,Food,2,982,Debit,13-02-2022,SM Mall of Asia
22-194-1500,7508119088,Male,47,Sports Equipment,5,85,Credit Card,22-06-2022,SM Megamall
26-969-9650,6996763770,Male,45,Food,3,402,Cash,19-09-2022,SM City North EDSA
52-513-2811,6343461922,Male,51,Electronics,1,1628,Credit Card,30-06-2023,SM City Cebu
69-341-6243,1229697055,Male,42,Toys,2,139,Debit,14-12-2021,SM City North EDSA
11-891-1073,5153221857,Male,66,Home Goods,1,1795,Debit,15-12-2021,SM Mall of Asia
03-392-4530,3370881055,Male,61,Sports Equipment,3,1372,Debit,05-03-2022,SM Megamall
35-570-5845,1340531119,Female,71,Electronics,3,323,Debit,22-04-2022,SM City Cebu
53-725-6175,1608193780,Male,55,Toys,1,57,Credit Card,01-03-2021,SM City Cebu
47-228-1727,2627871900,Female,39,Clothing,4,1449,Debit,31-05-2023,SM City North EDSA
62-499-6047,2240050373,Male,18,Home Goods,1,825,Debit,06-09-2023,SM Megamall
84-625-0636,198643659,Female,68,Pet Supplies,1,1459,Credit Card,01-01-2022,SM Seaside City Cebu
61-187-1885,5355136311,Male,74,Beauty,1,527,Debit,05-10-2023,SM City Fairview
91-435-8648,8257553530,Male,20,Pet Supplies,5,386,Cash,02-01-2022,SM City North EDSA
77-673-8905,6376279465,Male,40,Food,1,1343,Credit Card,05-05-2023,SM Mall of Asia
15-323-9007,7702907657,Male,56,Sports Equipment,2,1150,Cash,11-02-2021,SM Mall of Asia
10-726-5673,1951467302,Male,77,Toys,1,976,Cash,27-05-2022,SM Mall of Asia
65-166-1260,8082062703,Male,78,Books,3,1498,Credit Card,26-10-2021,SM City Fairview
90-149-2768,5036284771,Female,16,Toys,4,1023,Debit,01-05-2022,SM City Cebu
06-430-6375,8146439616,Male,34,Toys,2,1799,Cash,27-01-2023,SM Seaside City Cebu
74-249-1574,6223350481,Male,50,Food,2,1985,Debit,08-12-2022,SM City North EDSA
21-779-5688,2996384628,Male,76,Clothing,2,1517,Cash,29-10-2021,SM Mall of Asia
95-403-3663,447016237,Female,64,Books,4,1376,Debit,03-12-2022,SM City Cebu
80-153-6149,6519426822,Female,37,Toys,4,1261,Debit,17-06-2023,SM City Cebu
69-126-4304,9437979286,Male,29,Toys,1,1018,Debit,20-12-2023,SM City North EDSA
03-834-8323,939959704,Male,18,Music,3,1531,Debit,01-12-2023,SM City Cebu
16-285-8087,4629700811,Male,49,Pet Supplies,2,936,Debit,15-11-2022,SM City North EDSA
03-930-7551,9698455949,Male,19,Sports Equipment,5,1861,Debit,27-03-2021,SM Megamall
42-861-7269,7128555994,Male,59,Music,5,1528,Cash,27-12-2023,SM City Cebu
52-515-2471,7522887909,Male,29,Books,2,947,Credit Card,02-06-2021,SM City Cebu
28-184-9183,2219227790,Male,54,Books,1,630,Credit Card,23-01-2023,SM Megamall
68-470-2475,6533138723,Male,74,Toys,1,234,Credit Card,25-05-2022,SM City North EDSA
31-706-1145,2724108914,Female,78,Music,1,1114,Debit,06-11-2021,SM Mall of Asia
30-920-9949,2841373894,Female,76,Toys,5,406,Credit Card,09-08-2023,SM City North EDSA
58-651-0750,2955165069,Male,56,Sports Equipment,5,671,Debit,28-12-2023,SM Seaside City Cebu
14-288-4132,3279552133,Male,33,Clothing,3,1040,Debit,04-04-2023,SM City Fairview
49-360-8142,7417482813,Female,38,Electronics,2,747,Credit Card,29-07-2022,SM City North EDSA
58-904-2804,5090865108,Female,44,Clothing,5,1340,Credit Card,07-03-2023,SM Seaside City Cebu
86-034-8557,2197903950,Female,40,Clothing,2,1240,Debit,30-09-2023,SM Seaside City Cebu
54-001-2327,1699968241,Female,26,Toys,5,792,Credit Card,17-08-2021,SM City Cebu
31-478-8183,3740099089,Female,65,Toys,3,1075,Debit,27-01-2022,SM Seaside City Cebu
86-570-8334,1968881662,Male,58,Toys,1,840,Debit,22-04-2021,SM Megamall
32-703-6527,3162496616,Male,68,Toys,3,188,Debit,28-08-2021,SM City Cebu
03-597-5005,3859437569,Female,26,Pet Supplies,4,1695,Debit,27-03-2023,SM Megamall
58-167-5140,5582809988,Male,80,Beauty,4,874,Debit,08-10-2021,SM City Fairview
14-073-7498,8341471728,Female,19,Music,5,13,Debit,20-10-2021,SM Seaside City Cebu
73-221-9850,7860656884,Male,21,Music,1,1393,Debit,01-06-2022,SM City Cebu
81-303-3481,8887674760,Male,33,Toys,2,15,Credit Card,27-04-2021,SM City Fairview
41-647-8628,7584082432,Female,42,Beauty,1,1264,Cash,17-11-2021,SM Mall of Asia
55-769-0926,1109641141,Female,52,Music,3,1627,Credit Card,03-08-2023,SM Megamall
88-955-5333,3881026630,Male,31,Electronics,4,1542,Cash,28-05-2022,SM Seaside City Cebu
42-750-4492,304672033,Female,20,Pet Supplies,5,1763,Debit,27-12-2023,SM Mall of Asia
85-347-3102,2268617041,Male,38,Food,4,1562,Cash,15-09-2021,SM Mall of Asia
09-017-9104,5446521102,Female,44,Music,4,156,Debit,11-12-2022,SM City Fairview
99-107-1852,6145658878,Female,79,Beauty,2,768,Credit Card,27-06-2023,SM City Fairview
08-018-1836,1114645877,Female,60,Electronics,5,1152,Credit Card,31-05-2023,SM City North EDSA
45-927-8983,5889149083,Male,57,Sports Equipment,3,1431,Credit Card,22-01-2021,SM Mall of Asia
64-675-5822,8955253656,Female,37,Beauty,1,1878,Debit,09-05-2022,SM Mall of Asia
74-234-2134,3109524023,Male,70,Electronics,4,363,Cash,28-09-2022,SM Megamall
37-942-8499,8567499941,Female,39,Music,1,171,Credit Card,15-05-2022,SM Mall of Asia
23-974-3748,9863399310,Female,62,Books,5,253,Cash,26-04-2021,SM City North EDSA
01-303-5501,8413284198,Female,51,Toys,2,981,Debit,07-03-2023,SM City North EDSA
04-664-2819,4218151415,Male,35,Toys,5,1537,Debit,20-04-2021,SM Mall of Asia
42-196-6227,8044485635,Male,57,Toys,5,1556,Credit Card,08-07-2023,SM Seaside City Cebu
38-440-3873,3549091699,Female,67,Food,2,1739,Credit Card,08-06-2022,SM City Cebu
07-904-9103,9299693501,Male,34,Home Goods,1,1454,Debit,08-04-2022,SM City North EDSA
66-189-2587,2813908355,Female,17,Pet Supplies,3,1805,Cash,09-05-2023,SM City Cebu
67-400-5688,9631565491,Female,56,Home Goods,5,1214,Cash,28-10-2022,SM City Cebu
21-781-6046,4649913519,Male,74,Sports Equipment,3,868,Debit,23-11-2023,SM Seaside City Cebu
01-110-6824,5234942910,Male,42,Food,2,865,Cash,23-07-2022,SM Mall of Asia
21-922-6917,8393348021,Female,70,Sports Equipment,5,794,Credit Card,12-05-2021,SM Megamall
93-504-9770,4961419931,Male,53,Electronics,2,462,Cash,28-07-2021,SM City Cebu
33-268-6472,4273386585,Male,79,Toys,4,68,Credit Card,18-05-2022,SM Mall of Asia
39-258-6467,5227390657,Male,20,Sports Equipment,1,848,Credit Card,05-12-2022,SM City North EDSA
33-712-5075,8488758359,Male,69,Pet Supplies,3,248,Cash,04-02-2023,SM Seaside City Cebu
31-232-9808,9771027506,Female,17,Music,2,515,Credit Card,03-04-2023,SM Megamall
54-825-5354,5464005668,Female,68,Electronics,1,370,Debit,24-08-2021,SM City Fairview
65-517-9638,2705907599,Male,80,Music,3,1314,Cash,05-05-2022,SM City Cebu
97-418-3177,3827529883,Male,78,Music,2,1460,Credit Card,10-08-2021,SM Mall of Asia
73-522-8020,5426852391,Female,62,Music,2,1401,Cash,21-02-2021,SM Megamall
66-838-1100,7442199917,Male,35,Books,4,1923,Credit Card,02-07-2022,SM City North EDSA
54-252-2571,3315589771,Female,69,Sports Equipment,1,1065,Debit,21-09-2023,SM Mall of Asia
84-245-9822,3824807327,Male,35,Clothing,1,619,Cash,12-04-2023,SM City Cebu
51-775-9069,917010825,Male,44,Music,1,318,Debit,03-04-2022,SM Mall of Asia
84-281-0001,3920502485,Male,66,Sports Equipment,3,551,Debit,30-01-2022,SM Mall of Asia
98-707-5823,2559568586,Male,64,Electronics,1,19,Debit,02-04-2022,SM City North EDSA
95-042-5605,7366041408,Female,64,Toys,5,445,Debit,24-04-2023,SM City North EDSA
96-365-5435,4747551026,Female,37,Beauty,1,12,Debit,19-01-2021,SM Megamall
58-782-6328,1850301093,Male,62,Pet Supplies,2,1783,Cash,06-07-2023,SM City North EDSA
18-659-2800,7128489800,Male,21,Books,1,311,Credit Card,18-05-2023,SM City Fairview
74-672-3744,2221681444,Male,44,Books,1,1566,Cash,30-01-2022,SM Mall of Asia
51-906-4234,7570040481,Female,26,Home Goods,1,100,Cash,20-12-2022,SM City Fairview
04-270-4310,121986071,Male,22,Clothing,3,1251,Cash,09-01-2022,SM City Cebu
99-797-8744,7693120726,Female,67,Food,2,444,Cash,05-02-2023,SM Megamall
75-192-6467,9514974697,Female,71,Beauty,1,802,Debit,12-12-2023,SM City Cebu
25-599-5451,140468242,Male,47,Clothing,3,1602,Cash,22-11-2021,SM Seaside City Cebu
43-464-3826,2577592477,Male,62,Music,2,1671,Credit Card,01-10-2021,SM Seaside City Cebu
82-417-4905,2160824895,Male,76,Toys,3,773,Credit Card,12-03-2021,SM Seaside City Cebu
87-980-0800,4269609397,Male,79,Books,4,1184,Cash,27-07-2022,SM City North EDSA
39-978-5145,118180428,Male,22,Clothing,2,1974,Credit Card,26-06-2022,SM City Fairview
09-690-2394,744973023,Female,46,Electronics,5,879,Debit,09-07-2023,SM City Cebu
03-046-9644,9031084069,Male,68,Pet Supplies,2,1721,Credit Card,26-01-2021,SM City Cebu
43-131-8728,4048700278,Female,61,Clothing,3,1914,Cash,08-03-2023,SM Mall of Asia
41-191-7973,4523951039,Female,51,Home Goods,1,124,Credit Card,19-07-2022,SM City Fairview
32-794-6088,5865544969,Male,33,Sports Equipment,3,159,Credit Card,18-08-2022,SM Megamall
89-867-4111,4066267319,Female,48,Music,3,742,Cash,15-07-2022,SM City Fairview
95-318-3568,6483213042,Female,77,Home Goods,2,541,Debit,05-04-2021,SM City Cebu
08-164-1595,48401501,Male,39,Pet Supplies,3,1792,Debit,31-01-2022,SM City Fairview
74-509-6047,6401741481,Female,63,Food,5,261,Debit,23-05-2022,SM Mall of Asia
82-355-5696,3262536164,Male,50,Beauty,4,415,Cash,06-04-2023,SM Mall of Asia
40-158-9637,8902916685,Female,53,Home Goods,2,1851,Debit,06-02-2023,SM City Cebu
87-413-9248,417657269,Female,60,Electronics,1,438,Debit,09-01-2023,SM City Cebu
44-446-1347,6049102104,Female,69,Home Goods,2,570,Credit Card,26-03-2022,SM City Cebu
75-397-2206,3340053995,Male,79,Pet Supplies,1,554,Cash,10-10-2021,SM Mall of Asia
10-080-4989,4461420078,Female,56,Home Goods,1,323,Debit,04-04-2023,SM City North EDSA
51-923-8615,1565303164,Male,60,Clothing,1,3,Cash,10-08-2023,SM Mall of Asia
41-319-0458,5195431035,Female,72,Clothing,5,1655,Debit,08-02-2022,SM Seaside City Cebu
70-635-1871,4755266386,Female,23,Electronics,5,933,Credit Card,16-11-2021,SM Mall of Asia
45-319-1970,5042285857,Female,52,Beauty,2,696,Cash,30-09-2022,SM City Fairview
20-366-4328,2171993693,Male,55,Clothing,2,522,Cash,25-12-2023,SM City Fairview
17-881-4522,2974082920,Female,22,Home Goods,4,415,Debit,11-12-2021,SM Seaside City Cebu
79-591-6205,4594017614,Male,60,Electronics,2,581,Cash,16-01-2023,SM Mall of Asia
94-435-0031,4528908808,Male,67,Music,3,839,Debit,12-10-2023,SM City Cebu
34-256-2663,2802957104,Male,41,Sports Equipment,4,597,Credit Card,29-06-2023,SM Megamall
51-018-7883,2539799019,Male,52,Pet Supplies,1,625,Credit Card,22-08-2022,SM City Cebu
79-276-1242,3923137516,Male,23,Electronics,1,1789,Cash,01-12-2021,SM Seaside City Cebu
52-741-3254,9632691873,Male,64,Home Goods,4,390,Credit Card,22-12-2021,SM City North EDSA
15-388-2908,8891569801,Male,39,Beauty,1,352,Credit Card,02-01-2022,SM City North EDSA
32-511-8356,845615645,Male,61,Books,2,162,Cash,01-06-2023,SM City Cebu
61-285-2763,6154881673,Male,21,Books,2,794,Cash,14-02-2021,SM Seaside City Cebu
03-092-7889,2839239310,Male,50,Electronics,3,775,Credit Card,22-05-2023,SM City Cebu
83-800-2167,2708597779,Male,65,Books,3,31,Cash,06-10-2021,SM City North EDSA
46-841-4522,5668968715,Female,35,Sports Equipment,3,1019,Cash,16-04-2022,SM City North EDSA
76-693-0805,7882002860,Male,74,Beauty,1,914,Credit Card,11-09-2022,SM City Cebu
65-674-3562,6163989384,Female,60,Music,5,1773,Debit,26-11-2022,SM Mall of Asia
01-283-6994,1448956951,Male,15,Electronics,3,1625,Debit,16-03-2021,SM City North EDSA
12-655-1334,6444658128,Female,22,Sports Equipment,3,452,Cash,08-09-2021,SM City Fairview
24-795-5147,5545176845,Male,54,Electronics,5,199,Cash,15-01-2022,SM City Fairview
55-082-4781,9554562357,Male,45,Beauty,4,952,Credit Card,11-11-2022,SM City Fairview
50-236-3505,828331995,Male,40,Sports Equipment,4,1672,Credit Card,24-02-2021,SM Megamall
52-513-6120,4706702879,Male,75,Sports Equipment,5,1053,Debit,27-07-2021,SM Mall of Asia
64-648-5716,1178638014,Male,67,Sports Equipment,4,1265,Cash,08-10-2022,SM City North EDSA
78-088-4064,6841957229,Male,19,Pet Supplies,1,327,Cash,12-02-2021,SM Seaside City Cebu
43-919-5932,9304528801,Female,50,Food,2,1713,Credit Card,03-07-2021,SM City Fairview
72-622-0134,7392026933,Female,31,Sports Equipment,3,1765,Cash,02-07-2023,SM Seaside City Cebu
06-839-3188,594246539,Male,42,Clothing,4,510,Credit Card,30-09-2022,SM Seaside City Cebu
61-488-2501,4600863429,Male,27,Beauty,3,766,Debit,11-05-2022,SM Megamall
58-325-0267,1053144776,Male,32,Food,3,976,Debit,25-09-2022,SM Megamall
34-391-1867,5180573394,Female,26,Sports Equipment,2,186,Cash,17-05-2022,SM Seaside City Cebu
76-279-3316,823261573,Male,16,Toys,1,1844,Debit,29-12-2022,SM Megamall
83-874-4789,9984524159,Male,15,Electronics,2,907,Cash,30-11-2023,SM City North EDSA
65-636-2237,8988436768,Male,29,Books,5,528,Cash,28-08-2023,SM City North EDSA
31-185-4363,8289191200,Male,66,Toys,2,449,Debit,22-03-2022,SM Seaside City Cebu
17-310-6493,2980007420,Female,22,Food,3,1968,Credit Card,22-12-2022,SM City North EDSA
58-519-0333,7287946920,Male,78,Sports Equipment,3,1687,Debit,23-11-2022,SM City North EDSA
73-942-4231,7853956355,Female,77,Home Goods,3,1469,Debit,31-07-2021,SM City Cebu
18-873-5282,7923222762,Female,73,Sports Equipment,5,718,Debit,27-07-2021,SM Megamall
99-666-2804,1240555199,Male,51,Music,1,43,Cash,31-10-2023,SM City Cebu
40-995-7829,2297834357,Male,36,Toys,1,1117,Cash,14-05-2022,SM City Fairview
81-130-7021,6458788932,Female,77,Clothing,1,718,Credit Card,12-01-2022,SM City Fairview
15-816-5076,9017638478,Male,44,Sports Equipment,5,1425,Debit,14-12-2023,SM Seaside City Cebu
95-891-4036,7747228694,Female,17,Beauty,5,1637,Debit,06-09-2022,SM City North EDSA
11-682-3511,6685663588,Female,54,Toys,1,883,Debit,05-03-2022,SM City Cebu
87-886-4819,5352248283,Female,52,Sports Equipment,2,1022,Cash,21-11-2023,SM Seaside City Cebu
81-659-4888,4509713827,Male,69,Music,5,1016,Cash,13-12-2021,SM City Cebu
24-002-4272,2428488538,Male,16,Books,2,188,Debit,12-10-2022,SM Megamall
37-837-2805,4146337488,Female,54,Books,5,701,Cash,08-07-2023,SM City Fairview
80-762-7222,7101050336,Male,21,Food,1,1607,Cash,20-02-2023,SM Seaside City Cebu
46-580-2962,7396427770,Female,46,Electronics,1,222,Cash,19-08-2021,SM Mall of Asia
73-503-2396,1674086431,Male,24,Music,4,642,Credit Card,22-06-2022,SM City Fairview
44-325-3740,3839442613,Female,73,Food,1,1341,Cash,25-08-2023,SM Seaside City Cebu
47-403-0304,4752197839,Female,66,Music,3,745,Debit,13-07-2021,SM Seaside City Cebu
70-791-2480,6148321734,Male,25,Music,5,1180,Debit,18-11-2022,SM Mall of Asia
81-557-4454,3313860079,Male,33,Electronics,1,1764,Debit,22-01-2022,SM City North EDSA
43-505-0325,9255407503,Male,39,Home Goods,3,1443,Debit,05-01-2021,SM Mall of Asia
74-440-3356,5892065316,Male,57,Food,5,1286,Debit,30-01-2021,SM City North EDSA
72-370-7363,1650164807,Male,61,Food,5,1500,Cash,08-11-2022,SM Mall of Asia
36-206-8355,1005849714,Female,38,Toys,1,876,Cash,12-09-2023,SM Mall of Asia
48-358-0006,3135929302,Female,62,Clothing,3,1491,Debit,27-08-2021,SM City Cebu
83-356-4019,8558585075,Female,78,Home Goods,4,1144,Cash,16-03-2021,SM City North EDSA
95-242-2873,2632758378,Male,37,Books,3,819,Cash,16-07-2022,SM City Cebu
61-073-7970,4345952867,Male,75,Sports Equipment,2,973,Credit Card,10-05-2022,SM Mall of Asia
55-081-9151,1802163549,Female,69,Electronics,5,1557,Cash,24-03-2021,SM City Fairview
60-785-6311,6221088461,Female,51,Toys,1,1692,Credit Card,08-11-2021,SM City Cebu
30-585-9602,5752354552,Male,72,Beauty,3,1486,Credit Card,14-08-2023,SM Mall of Asia
00-567-1937,2077170646,Female,57,Beauty,2,380,Cash,21-04-2023,SM Mall of Asia
63-246-7071,4789327515,Male,23,Home Goods,3,1006,Debit,26-10-2021,SM City North EDSA
60-080-1790,2486332278,Female,53,Sports Equipment,2,1185,Cash,22-11-2021,SM City Cebu
31-580-0336,843949511,Female,18,Beauty,3,1747,Cash,04-01-2022,SM City Cebu
53-240-2390,7780868761,Female,62,Toys,1,1819,Debit,13-01-2022,SM City North EDSA
39-710-7086,3419185340,Male,37,Beauty,1,1030,Debit,12-03-2022,SM Seaside City Cebu
03-090-2654,1332719155,Female,68,Electronics,3,1369,Cash,16-02-2022,SM City Cebu
85-864-2169,2644386071,Female,31,Clothing,1,1027,Debit,18-10-2021,SM Megamall
67-665-7028,4357053404,Male,16,Toys,2,1350,Credit Card,23-05-2023,SM Megamall
89-775-1530,4291932022,Male,16,Pet Supplies,5,1785,Cash,28-05-2022,SM Seaside City Cebu
17-409-4338,6803888428,Female,68,Toys,5,461,Debit,02-07-2023,SM City North EDSA
19-810-0525,1740043421,Male,34,Home Goods,3,314,Debit,16-11-2023,SM City Cebu
84-415-2330,9558977225,Male,66,Clothing,1,929,Cash,07-06-2021,SM Seaside City Cebu
14-268-1486,607549718,Male,24,Home Goods,4,5,Debit,17-05-2021,SM Seaside City Cebu
98-692-2483,5158066752,Male,76,Electronics,4,898,Cash,10-05-2022,SM City North EDSA
28-395-0093,7388587683,Male,59,Pet Supplies,2,1706,Credit Card,26-01-2023,SM Mall of Asia
23-434-3105,6522640481,Female,55,Food,3,933,Debit,07-11-2023,SM City North EDSA
14-148-6345,4945897875,Male,37,Food,1,1377,Credit Card,11-08-2021,SM City Cebu
34-272-7198,3974222073,Male,18,Clothing,5,1245,Credit Card,12-07-2021,SM City North EDSA
35-904-6340,128777079,Male,27,Clothing,4,19,Credit Card,13-07-2021,SM City Fairview
28-151-0988,179815628,Female,34,Pet Supplies,2,774,Debit,21-08-2021,SM Seaside City Cebu
25-933-6408,4580268296,Female,60,Clothing,5,619,Cash,20-04-2022,SM Mall of Asia
97-562-0628,9255705075,Male,54,Toys,5,1151,Debit,04-02-2021,SM City North EDSA
38-963-6314,7148509149,Female,36,Beauty,3,258,Credit Card,29-11-2023,SM City North EDSA
68-073-5548,5910704540,Male,29,Beauty,1,1117,Cash,10-11-2021,SM Seaside City Cebu
22-770-9487,3507559730,Male,71,Toys,4,20,Cash,21-05-2021,SM City Fairview
93-422-2898,1902106997,Male,33,Electronics,1,928,Credit Card,03-01-2023,SM Seaside City Cebu
98-744-7983,6343674101,Female,18,Books,3,744,Debit,16-12-2021,SM Mall of Asia
51-634-3412,4989123735,Female,63,Toys,1,681,Credit Card,03-08-2021,SM Seaside City Cebu
17-391-1740,9701827627,Male,66,Pet Supplies,1,198,Credit Card,16-09-2022,SM City Cebu
33-867-9227,4441714297,Male,58,Home Goods,4,771,Debit,12-03-2021,SM Seaside City Cebu
69-133-1461,7804246528,Female,33,Pet Supplies,4,1948,Credit Card,12-02-2023,SM Megamall
11-025-3765,4620135550,Male,35,Electronics,4,1924,Cash,11-09-2021,SM Megamall
96-948-7746,5819470826,Female,34,Clothing,5,1666,Debit,25-07-2023,SM City Cebu
93-632-4904,7881450746,Male,77,Clothing,3,728,Debit,29-07-2023,SM City Cebu
68-109-2138,1762324598,Male,17,Electronics,4,748,Cash,26-08-2023,SM City Fairview
96-460-6088,239384741,Female,70,Food,1,160,Debit,13-03-2021,SM Mall of Asia
45-868-7145,8978383513,Female,20,Home Goods,1,625,Credit Card,19-11-2021,SM City Fairview
12-193-8660,9075439164,Female,34,Pet Supplies,4,1232,Cash,26-04-2023,SM Seaside City Cebu
02-552-7233,5967170634,Female,47,Books,3,1809,Debit,08-06-2021,SM City Fairview
20-998-6858,2101178117,Male,24,Home Goods,1,1512,Cash,29-08-2023,SM Mall of Asia
59-745-7312,9889692120,Female,80,Music,2,1792,Cash,16-09-2021,SM City North EDSA
99-286-2833,6494922627,Male,53,Music,1,1205,Credit Card,01-12-2023,SM City North EDSA
